字段名,说明,填充率,数据类型,唯一值数
渠道,数据来源渠道,1471/1471,str,5
产品名称,产品完整名称,1471/1471,str,1256
品牌,产品品牌,1471/1471,str,235
分类,产品分类路径,1461/1471,str,92
成分,烟草配方成分,48/1471,str,18
切工,烟丝切割工艺,68/1471,str,12
劲道,尼古丁浓度等级,48/1471,str,6
口味,风味/口味描述,514/1471,str,330
是否有货,库存状态,1471/1471,bool,2
库存数量,库存余量,1471/1471,int,89
商品链接,商品详情页URL,1274/1471,str,549
原始ID,来源系统原始ID,1471/1471,str,1219
产品大类,手卷丝/成品烟/烟斗丝/雪茄/耗材/加热烟弹/套餐/烟丝/其他,1471/1471,str,9
原始价格,原始币种价格,1471/1471,float,342
原始币种,原始货币代码(USD/CNY/JPY),1471/1471,str,3
人民币价格,统一换算为人民币,1471/1471,float,343
美元价格,统一换算为美元,1471/1471,float,344
重量(克),单规格净重(克),1471/1471,"int, float",22
规格,规格描述文字,650/1471,str,53
库存编码,唯一库存编号(SKU),553/1471,str,553
