渠道,库存编码,产品名称,品牌,分类,原始价格,原始币种,美元价格,人民币价格,重量(克),规格,是否有货,库存数量,成分,切工,劲道,口味,商品链接,原始ID,产品大类
pipeuncle,,喇叭手 原味 (帶紙),,手卷丝,5.76,USD,5.76,39.1104,35.0,18.4g/pack*1,True,5419,土耳其煙草、混合煙草,精細切割,中等,,,2287,手卷丝
pipeuncle,,喇叭手 薄荷醇 (帶紙),,手卷丝,5.76,USD,5.76,39.1104,35.0,18.4g/pack*1,True,2037,土耳其煙草、混合煙草,精細切割,中等,,,2286,手卷丝
pipeuncle,,喇叭手 薄荷醇 (帶紙),,手卷丝,33.4,USD,33.4,226.786,35.0,18.4g/pack*6,True,2037,土耳其煙草、混合煙草,精細切割,中等,,,2286,手卷丝
pipeuncle,,COLTS 清爽薄荷 (帶紙),,手卷丝,4.75,USD,4.75,32.2525,50.0,0.03kg/pack*1,True,1046,,：精細切割,,,,2150,手卷丝
pipeuncle,,COLTS 清爽薄荷 (帶紙),,手卷丝,22.79,USD,22.79,154.7441,50.0,0.03kg/pack*5,True,1046,,：精細切割,,,,2150,手卷丝
pipeuncle,,COLTS 甜香櫻桃 (帶紙),,手卷丝,4.75,USD,4.75,32.2525,50.0,0.03kg/pack*1,True,1045,,：精細切割,,,,2149,手卷丝
pipeuncle,,COLTS 甜香櫻桃 (帶紙),,手卷丝,22.79,USD,22.79,154.7441,50.0,0.03kg/pack*5,True,1045,,：精細切割,,,,2149,手卷丝
pipeuncle,,COLTS 清甜荔枝 (帶紙),,手卷丝,4.75,USD,4.75,32.2525,50.0,0.03kg/pack*1,True,1016,,：精細切割,,,,2153,手卷丝
pipeuncle,,COLTS 清甜荔枝 (帶紙),,手卷丝,22.79,USD,22.79,154.7441,50.0,0.03kg/pack*5,True,1016,,：精細切割,,,,2153,手卷丝
pipeuncle,,COLTS 果香茉莉 (帶紙),,手卷丝,4.75,USD,4.75,32.2525,50.0,0.03kg/pack*1,True,1006,,：精細切割,,,,2151,手卷丝
pipeuncle,,COLTS 果香茉莉 (帶紙),,手卷丝,22.79,USD,22.79,154.7441,50.0,0.03kg/pack*5,True,1006,,：精細切割,,,,2151,手卷丝
pipeuncle,,COLTS 清新綠茶 (帶紙),,手卷丝,4.75,USD,4.75,32.2525,50.0,0.03kg/pack*1,True,984,,：精細切割,,,,2152,手卷丝
pipeuncle,,COLTS 清新綠茶 (帶紙),,手卷丝,22.79,USD,22.79,154.7441,50.0,0.03kg/pack*5,True,984,,：精細切割,,,,2152,手卷丝
pipeuncle,,阿姆斯特丹 咖啡冰爽 (帶紙),,手卷丝,4.15,USD,4.15,28.1785,43.0,0.025kg/pack*1,True,980,,,,,,2458,手卷丝
