品牌,覆盖渠道,产品大类,产品数,最低价(¥),最高价(¥),均价(¥),均价($),最小重量(g),最大重量(g)
7seas/Seven Seas,花店,烟斗丝,4,58.5,58.5,58.5,8.62,40.0,40.0
AMPHORA/,花店,烟斗丝,4,69.73,69.73,69.73,10.28,50.0,50.0
APACHE/,花店,成品烟,1,22.46,22.46,22.46,3.31,,
Acrema Blend/,花店,烟丝,1,32.76,32.76,32.76,4.83,20.0,20.0
Amber Leaf/琥珀,花店,烟丝,2,32.76,34.16,33.46,4.93,25.0,25.0
AmericanSpirit/美国精神,花店,成品烟,7,19.66,19.66,19.66,2.9,,
Amsterdamer/阿姆斯特丹,花店,烟丝,11,25.74,32.76,30.85,4.55,25.0,30.0
Arango,nov | sp,烟斗丝,11,28.86,1814.15,301.94,44.47,28.3,2268.0
Ark Royal/老船长,花店,成品烟 | 烟丝 | 烟斗丝,20,24.34,68.8,36.13,5.32,30.0,50.0
BORKUM RIFF/,花店,烟斗丝,4,74.41,74.41,74.41,10.97,50.0,50.0
BRIGHT/,花店,成品烟,2,21.53,21.53,21.53,3.17,,
Bali Shag/巴厘岛,花店,烟丝,4,56.63,58.97,57.21,8.43,40.0,40.0
Bentley/宾利,花店,成品烟,2,32.76,32.76,32.76,4.83,,
Bi Bo/,花店,烟丝 | 烟斗丝,3,70.2,140.4,116.22,17.13,40.0,50.0
Black Hawk/黑鹰,花店,烟丝,1,140.4,140.4,140.4,20.69,100.0,100.0
Black Spider/黑蜘蛛,花店,烟丝,29,38.84,38.84,38.84,5.72,30.0,30.0
BlackDevil/黑魔鬼,花店,成品烟 | 烟丝,8,27.14,51.48,30.19,4.45,40.0,40.0
BlackJack/黑杰克,花店,成品烟,16,22.93,25.74,23.31,3.44,,
BlackStone/黑石,花店,成品烟,1,31.36,31.36,31.36,4.62,,
Blue Note/蓝色音符,花店,烟丝 | 烟斗丝,2,70.2,138.06,104.13,15.34,40.0,50.0
Bohem/宝亨,花店,成品烟,7,24.34,24.34,24.34,3.59,,
Bragilian Spirit/,花店,烟丝,4,22.46,22.46,22.46,3.31,20.0,20.0
CAPITO /,花店,烟斗丝,1,63.18,63.18,63.18,9.31,40.0,40.0
CHAPMAN/,花店,成品烟,2,27.61,27.61,27.61,4.07,,
CHOICE/,花店,烟丝,4,38.84,38.84,38.84,5.72,30.0,30.0
COLTS,pipeuncle,烟丝,16,32.0,32.0,32.0,4.71,30.0,30.0
COLTS/,花店,烟丝,9,39.78,39.78,39.78,5.86,30.0,30.0
Camel/骆驼,花店,成品烟 | 雪茄,24,21.06,24.8,22.15,3.26,,
Cappuccino/卡布奇诺,花店,烟丝,2,58.97,58.97,58.97,8.69,40.0,40.0
Captain Black/黑船长,花店,烟斗丝,6,65.52,65.52,65.52,9.66,42.5,42.5
Che/切格瓦拉,花店,成品烟,6,26.68,26.68,26.68,3.93,,
Cigaronne/卡比龙,花店,成品烟,11,32.76,74.88,46.2,6.81,,
Cornell & Diehl,nov | sp,烟斗丝,114,29.54,916779.01,23410.98,3447.86,28.3,2268.0
DJARUM/,花店,成品烟,5,13.1,23.87,15.26,2.25,,
DORA/,花店,烟丝,8,42.12,42.12,42.12,6.21,30.0,30.0
DRUM/,花店,烟丝,1,65.52,65.52,65.52,9.66,50.0,50.0
DTM/,花店,烟斗丝,1,140.4,140.4,140.4,20.69,50.0,50.0
Daughters & Ryan,sp,烟斗丝,6,10.86,662.23,157.1,23.14,28.4,2268.0
EVO/,花店,雪茄,9,27.14,27.14,27.14,4.0,,
Echo/回声,花店,成品烟,1,23.4,23.4,23.4,3.45,,
Erik Stokkebye 4th Generation,sp,烟斗丝,12,35.85,1165.98,365.64,53.85,28.4,2268.0
F&K (Bulk),nov,烟斗丝,15,37.01,487.18,195.25,28.76,28.3,453.6
FLOYD/,花店,成品烟,2,25.27,25.27,25.27,3.72,,
Flandria/佛朗德里亚,花店,烟丝,8,35.57,35.57,35.57,5.24,25.0,25.0
Forte/福尔特,花店,成品烟,10,18.25,21.53,19.89,2.93,,
G.L.,huasheng,烟丝,11,127.16,127.16,127.16,18.73,57.0,57.0
Gawith Hoggarth & Co.,sp,烟斗丝,6,55.47,744.05,362.13,53.33,28.4,2268.0
Gawith Hoggarth & Co. (Bulk),nov,烟斗丝,12,37.48,744.05,303.3,44.67,28.3,500.0
Golden Blend's/金色混合,花店,烟丝 | 烟斗丝,4,42.12,77.22,59.67,8.79,30.0,50.0
Golden Virginia/金色佛吉尼亚,花店,烟丝,1,65.52,65.52,65.52,9.66,50.0,50.0
GudangGaram/盐仓,花店,成品烟,7,17.78,65.52,29.28,4.32,,
HALF AND HALF/,花店,烟斗丝,1,75.82,75.82,75.82,11.17,50.0,50.0
HARVEST/,花店,成品烟 | 烟丝,8,22.46,38.84,27.96,4.12,30.0,30.0
Hi-Tabaco/,花店,烟丝,3,43.99,50.54,48.36,7.13,30.0,30.0
Hi-lite/喜力,花店,成品烟,2,24.34,24.34,24.34,3.59,,
Hope/希望,花店,成品烟,3,14.04,14.04,14.04,2.07,,
IQOS/,花店,其他,13,317.3,701.06,555.62,81.88,,
IROHA/,花店,烟丝,1,35.1,35.1,35.1,5.17,30.0,30.0
J.S.P./,花店,成品烟,1,26.21,26.21,26.21,3.86,,
JBR/,花店,烟丝,4,42.12,42.12,42.12,6.21,30.0,30.0
KK,huasheng,烟斗丝,2,167.79,167.79,167.79,24.71,100.0,100.0
KOOL/,花店,成品烟,10,23.4,27.14,25.27,3.72,,
Kent/健牌/箭牌,花店,成品烟 | 雪茄,22,23.4,27.14,24.44,3.6,,
L.A./,花店,成品烟,5,16.38,23.4,22.0,3.24,,
LD,huasheng,成品烟,5,258.7,259.0,258.82,38.12,,
Lane Limited,nov | sp,烟斗丝,34,27.16,1661.58,319.55,47.06,28.3,2268.0
Lark/云雀,花店,成品烟,17,23.4,25.27,24.83,3.66,,
LuckyStrike/好彩,花店,成品烟 | 雪茄,26,21.06,29.02,22.72,3.35,,
Lumber Jack/伐木工,花店,烟丝,2,32.76,32.76,32.76,4.83,25.0,25.0
MEVIUS/梅比乌斯,花店,成品烟 | 雪茄,53,23.4,27.14,25.55,3.77,,
Mac Baren,huasheng,烟丝,1,37.31,37.31,37.31,5.49,40.0,40.0
Mac Baren/马坝,花店,烟斗丝,1,74.88,74.88,74.88,11.03,50.0,50.0
Manitou/曼尼顿,花店,烟丝,3,42.59,113.26,66.14,9.75,25.0,80.0
Marlboro/万宝路,花店,成品烟,16,29.02,29.02,29.02,4.28,,
Momoyama/桃山,花店,烟斗丝,2,63.18,159.12,111.15,16.38,40.0,100.0
NEO/,花店,雪茄,10,24.8,24.8,24.8,3.66,,
OCB,huasheng,耗材,4,2.31,22.83,8.08,1.19,,
OSMO/,花店,成品烟,2,15.44,15.44,15.44,2.28,,
PEPE/,花店,成品烟 | 烟丝,10,23.4,127.3,71.79,10.58,30.0,100.0
PROMENADE/,花店,烟斗丝,1,63.18,63.18,63.18,9.31,40.0,40.0
PS,pipeuncle,烟丝,24,42.0,151.0,96.5,14.21,35.0,150.0
PUEBLO/普韦布洛,花店,成品烟 | 烟丝,8,24.34,135.72,61.07,9.0,30.0,100.0
PURE,huasheng,耗材,22,18.9,48.6,25.94,3.82,,
Parliament/百乐门,花店,成品烟,6,27.14,29.02,28.39,4.18,,
Peace/和平,花店,成品烟,6,14.04,70.2,33.15,4.89,,
Peel/百乐,花店,成品烟,5,25.74,25.74,25.74,3.79,,
Perfect Blend/完美混合,花店,烟丝 | 烟斗丝,2,65.99,229.32,147.65,21.76,40.0,100.0
Pesse Canoe/,花店,烟斗丝,7,140.4,149.76,145.75,21.48,50.0,50.0
Peter Stokkebye,nov | sp,烟斗丝,53,28.72,1744.96,296.31,43.64,28.3,2268.0
Peterson/彼得森,花店,烟斗丝,9,71.14,121.68,96.1,14.16,40.0,50.0
PhilipMorris/菲利普莫里斯,花店,成品烟,11,21.06,21.06,21.06,3.1,,
Pianissmo/碧丝梦,花店,成品烟,4,26.68,26.68,26.68,3.93,,
R&W/,花店,烟丝,7,51.01,166.14,100.35,14.79,30.0,100.0
R+,huasheng,耗材,2,3.96,3.96,3.96,0.58,,
RAW,huasheng,耗材,2,5.9,17.98,11.94,1.76,,
RED BULL/红牛,花店,烟丝,5,56.16,56.16,56.16,8.28,40.0,40.0
RED FiELD/红场,花店,烟丝,7,26.21,26.21,26.21,3.86,20.0,20.0
ROCK'N CHAIR/,花店,烟斗丝,1,63.18,63.18,63.18,9.31,40.0,40.0
RYTUA/,花店,烟丝,2,30.42,30.42,30.42,4.48,25.0,25.0
Raw,huasheng,耗材,1,5.0,5.0,5.0,0.74,,
Republicana/,花店,成品烟,2,28.08,28.08,28.08,4.14,,
SENTIA/,花店,雪茄,18,26.68,26.68,26.68,3.93,,
SG,huasheng,烟丝,19,110.0,530.0,139.44,20.54,50.0,50.0
SILK ROAD/丝绸之路,花店,烟斗丝,1,63.18,63.18,63.18,9.31,40.0,40.0
SOL/,花店,烟斗丝,3,44.93,116.06,68.64,10.11,30.0,80.0
SPADE/,花店,烟丝,2,23.4,23.4,23.4,3.45,20.0,20.0
STANLEY/斯坦利,花店,烟丝,14,33.7,131.04,41.38,6.1,25.0,100.0
Samuel Gawith/塞缪尔加维,花店,烟斗丝,10,149.76,149.76,149.76,22.07,50.0,50.0
SevenStars/七星,花店,成品烟,8,28.08,28.08,28.08,4.14,,
Smokin Joes/,花店,成品烟,4,27.14,27.14,27.14,4.0,,
Sobranie/寿百年,花店,成品烟,2,46.8,46.8,46.8,6.9,,
Sutliff,sp,烟斗丝,6,25.87,1026430.72,171180.62,25210.7,28.4,2268.0
Sutliff (Bulk),nov,烟斗丝,5,25.87,314.92,130.6,19.23,28.3,453.6
Sweet Dublin/甜都柏林,花店,烟斗丝,1,75.82,75.82,75.82,11.17,50.0,50.0
T&T,huasheng,耗材,4,8.93,8.93,8.93,1.32,,
TEREA/,花店,雪茄,27,29.02,29.02,29.02,4.28,,
TP-77/,花店,烟丝,4,186.73,186.73,186.73,27.52,150.0,150.0
TREASURER/,花店,成品烟,4,31.82,187.2,116.77,17.21,,
Take Your Time/,花店,烟斗丝,1,138.06,138.06,138.06,20.34,50.0,50.0
Terea,huasheng,加热烟弹,14,266.4,266.4,266.4,39.23,,
Three Dogs/三只狗,花店,烟丝,7,46.8,46.8,46.8,6.9,30.0,30.0
VIBES/,花店,成品烟,1,25.27,25.27,25.27,3.72,,
VIRTO/,花店,雪茄,9,27.14,27.14,27.14,4.0,,
Virginia/弗吉尼亚,花店,成品烟,3,26.68,26.68,26.68,3.93,,
W.Ø.LARSEN/,花店,烟斗丝,4,79.09,219.96,114.31,16.84,50.0,100.0
WIN/,花店,成品烟,3,20.12,20.12,20.12,2.97,,
