渠道,产品名称,品牌,口味,不加税价格 (¥),单包含税价 (¥),美元价格 ($),毛重 (g),运费 (¥),价格/500g (¥),平摊运费 (¥/包),平摊运费后烟丝成本/20支,20支成品烟价 (¥),规格 (g),库存,分类
华盛,手卷新手精选 RYO Special Selection SET 1,其他,手卷新手精选 RYO Special Selection SET 1,530.00,795.00,78.06,0,0,0.00,0.00,0.00,0.00,0,有货,成品烟
华盛,登喜路红 Dunhill Red (1条10盒),登喜路,登喜路红 Dunhill Red (1条10盒),353.30,529.95,52.03,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 1,成品烟
华盛,梅维乌斯双冰 Mevius Double Ice (1条10盒）,梅维乌斯,梅维乌斯双冰 Mevius Double Ice (1条10盒）,347.90,521.85,51.24,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 4,成品烟
华盛,梅维乌斯爆珠 Mevius Capsule  (1条10盒）,梅维乌斯,梅维乌斯爆珠 Mevius Capsule  (1条10盒）,347.90,521.85,51.24,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,梅维乌斯斯极 Mevius Kiwami  (1条10盒）,梅维乌斯,梅维乌斯斯极 Mevius Kiwami  (1条10盒）,347.90,521.85,51.24,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,梅维乌斯薄荷白 Mevius Menthol White  (1条10盒）,梅维乌斯,梅维乌斯薄荷白 Mevius Menthol White  (1条10盒）,347.90,521.85,51.24,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,梅维乌斯薄荷 Mevius Menthol  (1条10盒）,梅维乌斯,梅维乌斯薄荷 Mevius Menthol  (1条10盒）,347.90,521.85,51.24,0,0,0.00,0.00,0.00,0.00,0,有货,成品烟
华盛,梅维乌斯风蓝 Mevius Wind Blue  (1条10盒）,梅维乌斯,梅维乌斯风蓝 Mevius Wind Blue  (1条10盒）,347.90,521.85,51.24,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 1,成品烟
华盛,梅维乌斯天蓝 Mevius Sky Blue  (1条10盒）,梅维乌斯,梅维乌斯天蓝 Mevius Sky Blue  (1条10盒）,349.16,523.74,51.42,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,梅维乌斯原味 Mevius Original  (1条10盒）,梅维乌斯,梅维乌斯原味 Mevius Original  (1条10盒）,349.16,523.74,51.42,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,LD薄荷 Liggett Ducat Menthol  (1条10盒）,LD,LD薄荷 Liggett Ducat Menthol  (1条10盒）,258.70,388.05,38.10,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,LD红 Liggett Ducat Red (1条10盒）,LD,LD红 Liggett Ducat Red (1条10盒）,259.00,388.50,38.14,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,Terea 桑葚丁香 Kretek Mulberry (一条10盒）,Terea,Terea 桑葚丁香 Kretek Mulberry (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,万宝路白金 Marlboro Gold  (1条10盒）,万宝路,万宝路白金 Marlboro Gold  (1条10盒）,355.76,533.64,52.39,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,Terea 星光 Starling (一条10盒）,Terea,Terea 星光 Starling (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,Terea 太阳爆珠 Sun Pearl (一条10盒）,Terea,Terea 太阳爆珠 Sun Pearl (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,Terea 绿洲爆珠 Oasis Pearl (一条10盒）,Terea,Terea 绿洲爆珠 Oasis Pearl (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,Terea 青柠薄荷 Zing Wave (一条10盒）,Terea,Terea 青柠薄荷 Zing Wave (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,Terea 蓝莓薄荷 Purple Wave (一条10盒）,Terea,Terea 蓝莓薄荷 Purple Wave (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,Terea 淡薄荷 Turquoise (一条10盒）,Terea,Terea 淡薄荷 Turquoise (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,Terea 浓薄荷 Blue (一条10盒）,Terea,Terea 浓薄荷 Blue (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,有货,成品烟
华盛,Terea 琥珀原味 Amber (一条10盒）,Terea,Terea 琥珀原味 Amber (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,Terea 深原味 Sienna (一条10盒）,Terea,Terea 深原味 Sienna (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,Terea 浓原味 Russet (一条10盒）,Terea,Terea 浓原味 Russet (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,Terea 极冷柑橘 Black Yellow (一条10盒）,Terea,Terea 极冷柑橘 Black Yellow (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,Terea 极冷蓝莓薄荷 Black Purple Mint(一条10盒）,Terea,Terea 极冷蓝莓薄荷 Black Purple Mint(一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 1,成品烟
华盛,Terea 极冷薄荷 Black Green (一条10盒）,Terea,Terea 极冷薄荷 Black Green (一条10盒）,266.40,399.60,39.23,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,老人牌慢燃卷纸 Zig Zag Blue Slowburn Rolling Paper 70mm 25册/盒,其他,老人牌慢燃卷纸 Zig Zag Blue Slowburn Rolling Paper 70mm 25册/盒,4.82,7.23,0.71,0,0,0.00,0.00,0.00,0.00,0,有货,成品烟
华盛,老人牌切角卷纸 Zig Zag Cut Corner Rolling Paper 70mm 50册/盒,其他,老人牌切角卷纸 Zig Zag Cut Corner Rolling Paper 70mm 50册/盒,2.36,3.54,0.35,0,0,0.00,0.00,0.00,0.00,0,有货,成品烟
华盛,老人牌卷纸 Zig Zag Red Rolling Paper 70mm 50册/盒,其他,老人牌卷纸 Zig Zag Red Rolling Paper 70mm 50册/盒,2.24,3.36,0.33,0,0,0.00,0.00,0.00,0.00,0,有货,成品烟
华盛,云斯顿红无滤嘴 Winston Filterless  (1条10盒）,云斯顿,云斯顿红无滤嘴 Winston Filterless  (1条10盒）,364.34,546.51,53.66,0,0,0.00,0.00,0.00,0.00,0,无货,成品烟
华盛,云斯顿蓝 Winston Blue  (1条10盒）,云斯顿,云斯顿蓝 Winston Blue  (1条10盒）,346.98,520.47,51.10,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 2,成品烟
华盛,云斯顿双重爆珠 Winston Duo Capsule  (1条10盒）,云斯顿,云斯顿双重爆珠 Winston Duo Capsule  (1条10盒）,346.98,520.47,51.10,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 4,成品烟
华盛,云斯顿红 Winston Red  (1条10盒）,云斯顿,云斯顿红 Winston Red  (1条10盒）,346.98,520.47,51.10,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 1,成品烟
华盛,万宝路维斯塔黑薄荷 Marlboro Vista Black Mint  (1条10盒）,万宝路,万宝路维斯塔黑薄荷 Marlboro Vista Black Mint  (1条10盒）,355.76,533.64,52.39,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
华盛,梅维乌斯黄 Mevius Yellow (1条10盒）,梅维乌斯,梅维乌斯黄 Mevius Yellow (1条10盒）,347.90,521.85,51.24,0,0,0.00,0.00,0.00,0.00,0,库存仅剩 3,成品烟
