字段名,中文名,含义,填充率,枚举/示例值,数据类型
id,产品编号,WooCommerce 产品 ID,383/383 (100%),"383 个唯一值，如: 101531, 101537, 102906, 102909, 10457...",int
sku,SKU,库存单位编号,383/383 (100%),"383 个唯一值，如: ACCS 001, ACCS 005, ACCS 007, ACCS 009, ACCS 010...",str
name,产品名称,商品全名,383/383 (100%),"383 个唯一值，如: G.L. 切尔西之晨 G.L. Pease Chelsea , G.L. 坎伯兰 G.L. Pease Cumberland, G.L. 壮汉 G.L. Pease Robusto 57g, G.L. 奥德赛 G.L",str
slug,URL别名,URL友好名称,383/383 (100%),"383 个唯一值，如: %e4%b8%87%e5%ae%9d%e8%b7%af%e7, %e4%b8%87%e5%ae%9d%e8%b7%af%e7, %e4%b8%87%e5%ae%9d%e8%b7%af%e7, %e4%b8%87%e5",str
permalink,链接,商品详情页URL,383/383 (100%),"383 个唯一值，如: https://www.huashengyansi.cv/p, https://www.huashengyansi.cv/p, https://www.huashengyansi.cv/p, https://www.",str
type,产品类型,simple=单品 variable=多规格,383/383 (100%),"simple, variable",str
categories,分类路径,所属分类,383/383 (100%),"75 个唯一值，如: CD 康奈尔, G.L., GV, LD, OCB...",str
price,价格(分),当前价格，单位:分,383/383 (100%),"145 个唯一值，如: 1, 10076, 1011, 10137, 10403...",str
regular_price,原价(分),标价/原价,383/383 (100%),"136 个唯一值，如: 1, 1000, 1002, 1057, 10788...",str
sale_price,促销价(分),促销价格,383/383 (100%),"145 个唯一值，如: 1, 10076, 1011, 10137, 10403...",str
currency,货币,货币代码,383/383 (100%),¥CNY=人民币,str
on_sale,是否促销,是否在促销,383/383 (100%),True=是; False=否,bool
is_in_stock,是否有货,库存状态,383/383 (100%),True=有库存; False=无库存,bool
stock_availability,库存详情,库存状态文本,383/383 (100%),"{'text': '库存仅剩 1', 'class': 'in-stock wd, {'text': '库存仅剩 2', 'class': 'in-stock wd, {'text': '库存仅剩 3', 'class': 'in-stoc",dict
low_stock_remaining,低库存余量,低库存剩余数量,180/383 (47%),"0, 1, 2, 3, 4, 5",int
short_description,简短描述,商品简介,13/383 (3%),"<p><em><span style=""color: #000000""><str, <p><em><span style=""color: #000000""><str, <p><em><span style=""color: #000000"">",str
description,详细描述,商品详情HTML,363/383 (95%),"363 个唯一值，如: <div class=""elementor-element , <div class=""elementor-element , <div class=""elementor-element , <div class=""",str
average_rating,平均评分,用户评分0-5,383/383 (100%),"0, 4.00, 4.50, 4.55, 4.56, 4.58, 4.67, 4.75, 4.78, 5.00",str
review_count,评价数,评价数量,383/383 (100%),"0, 1, 11, 12, 13, 2, 9",int
main_image,主图,主图URL,383/383 (100%),"383 个唯一值，如: https://www.huashengyansi.cv/w, https://www.huashengyansi.cv/w, https://www.huashengyansi.cv/w, https://www.",str
all_images,所有图片,所有图片URL,383/383 (100%),"383 个唯一值，如: https://www.huashengyansi.cv/w, https://www.huashengyansi.cv/w, https://www.huashengyansi.cv/w, https://www.",str
attributes,属性,商品规格属性JSON,56/383 (15%),"16 个唯一值，如: 数量 Amount: 5包PCH (1000粒TIPS), , 数量 Amount: 5包PCH (212.5g), 1包 , 数量 Amount: 5包PCH (3000粒TIPS), , 数量 Amount: 5包",str
is_purchasable,可购买,True=可购买 False=不可,383/383 (100%),True,bool
has_options,有规格选项,True=有多种规格,383/383 (100%),"False, True",bool
price (统计),价格统计,¥0.01 ~ ¥530.00,383/383 (100%),中位数 ¥58.50，单位:分,int
