渠道,产品名称,品牌,口味,不加税价格(¥),单包含税价(¥),美元价格($),毛重(g),运费(¥),价格/500g(¥),平摊运费(¥/包),平摊运费后烟丝成本/20支,20支成品烟价(¥),规格(g),库存,分类
nov,Crooner (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Crooner (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Crooner (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Crooner (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Crooner (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Nutty Irishman (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Nutty Irishman (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Nutty Irishman (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Nutty Irishman (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Nutty Irishman (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Pegasus (1oz / 28g),Cornell & Diehl,,,,4.3500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
nov,Pegasus (2oz / 57g),Cornell & Diehl,,,,8.4500,56.7,,,,,,56.7,有货,bulk_pipe_tobacco
nov,Pegasus (4oz / 113g),Cornell & Diehl,,,,15.9500,113.4,,,,,,113.4,有货,bulk_pipe_tobacco
nov,Pegasus (8oz / 227g),Cornell & Diehl,,,,29.9500,226.8,,,,,,226.8,有货,bulk_pipe_tobacco
nov,Pegasus (16oz / 454g),Cornell & Diehl,,,,55.2500,453.6,,,,,,453.6,有货,bulk_pipe_tobacco
nov,Balkan Supreme (1oz / 28g),Arango,,,,4.2500,28.3,,,,,,28.3,有货,bulk_pipe_tobacco
