rank,name,brand,link,price_display,price_usd,weight_oz,weight_g,in_stock,components,family,cut,strength,sku,full_title,option_1oz,option_2oz,option_4oz,option_8oz,option_16oz,option_5lbs
#1,1-Q,Lane Limited,https://www.smokingpipes.com/pipe-tobacco/lane/1-q/product_id/11757,$4.02,4.02,1oz,28.35,True,"Virginia, Black Cavendish",Aromatic,Ribbon,,,Lane Limited 1-Q,4.02342342342,7.56949152542,14.2912,26.6626865672,51.04,244.712328767
#2,PS403 Luxury Bullseye Flake,Peter Stokkebye,https://www.smokingpipes.com/pipe-tobacco/stokkebye/ps403-luxury-bullseye-flake/product_id/21842,$5.95,5.95,1oz,28.35,True,"Virginia, Perique, Black Cavendish",Virginia,Coins,,,Peter Stokkebye PS403 Luxury Bullseye Flake,5.95495495495,11.2033898305,21.152,39.4626865672,75.5428571429,108.657534247
#3,PS400 Luxury Navy Flake,Peter Stokkebye,https://www.smokingpipes.com/pipe-tobacco/stokkebye/ps400-luxury-navy-flake/product_id/11743,$4.83,4.83,1oz,28.35,True,"Virginia, Perique",Virginia,Flake,,,Peter Stokkebye PS400 Luxury Navy Flake,4.82702702703,9.0813559322,17.1456,31.9880597015,61.2342857143,88.0767123288
#4,Evening Flake,Erik Stokkebye 4th Generation,https://www.smokingpipes.com/pipe-tobacco/erik-stokkebye/evening-flake/product_id/395710,$5.28,5.28,1oz,28.35,True,"Virginia, Perique",Virginia,Flake,,,Erik Stokkebye 4th Generation Evening Flake,5.27747747748,9.92881355932,18.7456,34.9731343284,66.9485714286,96.295890411
#5,Autumn Evening,Cornell & Diehl,https://www.smokingpipes.com/pipe-tobacco/cornell-diehl/autumn-evening/product_id/135019,$4.39,4.39,1oz,28.35,True,Virginia,Aromatic,Ribbon,,,Cornell & Diehl Autumn Evening,4.39279279279,8.26440677966,15.6032,29.1104477612,53.4356164384,135019
#6,PS402 Luxury Twist Flake,Peter Stokkebye,https://www.smokingpipes.com/pipe-tobacco/stokkebye/ps402-luxury-twist-flake/product_id/11742,$5.95,5.95,1oz,28.35,True,Virginia,Virginia,Flake,,,Peter Stokkebye PS402 Luxury Twist Flake,5.95495495495,11.2033898305,21.152,39.4626865672,75.5428571429,108.657534247
#7,Three Sails,Daughters & Ryan,https://www.smokingpipes.com/pipe-tobacco/daughters-ryan/three-sails/product_id/384401,$1.60,1.6,1oz,28.35,True,Virginia,Virginia,Shag,,,Daughters & Ryan Three Sails,1.6036036036,3.01694915254,5.696,10.6268656716,20.3428571429,97.5342465753
#8,Balkan Supreme,Arango,https://www.smokingpipes.com/pipe-tobacco/Balkan-Supreme/balkan-supreme/product_id/151152,$4.39,4.39,1oz,28.35,True,"Virginia, Latakia, Orientals, Black Cavendish",English,Ribbon,,,Arango Balkan Supreme,4.39279279279,8.26440677966,15.6032,29.1104477612,55.7257142857,267.178082192
#9,Black Dot,Erik Stokkebye 4th Generation,https://www.smokingpipes.com/pipe-tobacco/erik-stokkebye/black-dot/product_id/713982,$9.41,9.41,1oz,28.35,True,"Virginia, Perique",Virginia,Coins,,,Erik Stokkebye 4th Generation Black Dot,9.41081081081,17.7050847458,33.4272,62.3641791045,119.382857143,171.715068493
#10,Haunted Bookshop,Cornell & Diehl,https://www.smokingpipes.com/pipe-tobacco/cornell-diehl/haunted-bookshop/product_id/123402,$4.39,4.39,1oz,28.35,True,"Virginia, Perique, Burley",Burley,Ribbon,,,Cornell & Diehl Haunted Bookshop,4.39279279279,8.26440677966,15.6032,29.1104477612,53.4356164384,123402
#11,BCA,Lane Limited,https://www.smokingpipes.com/pipe-tobacco/lane/bca/product_id/11758,$4.02,4.02,1oz,28.35,True,Black Cavendish,Aromatic,Ribbon,,,Lane Limited BCA,4.02342342342,7.56949152542,14.2912,26.6626865672,51.04,244.712328767
#12,Z92 Vanilla Custard,Sutliff,https://www.smokingpipes.com/pipe-tobacco/Sutliff/z92-vanilla-custard/product_id/151168,$3.81,3.81,1oz,28.35,True,"Virginia, Burley, Black Cavendish",Aromatic,Ribbon,,,Sutliff Z92 Vanilla Custard,3.81261261261,7.17288135593,13.5424,25.2656716418,46.3780821918,151168
#13,RLP-6,Lane Limited,https://www.smokingpipes.com/pipe-tobacco/lane/rlp-6/product_id/11759,$4.02,4.02,1oz,28.35,True,"Virginia, Burley, Black Cavendish",Aromatic,Ribbon,,,Lane Limited RLP-6,4.02342342342,7.56949152542,14.2912,26.6626865672,51.04,244.712328767
#14,Bayou Morning,Cornell & Diehl,https://www.smokingpipes.com/pipe-tobacco/cornell-diehl/bayou-morning/product_id/66070,$4.39,4.39,1oz,28.35,True,"Virginia, Perique",Virginia,Ribbon,,,Cornell & Diehl Bayou Morning,4.39279279279,8.26440677966,15.6032,29.1104477612,53.4356164384,66070
#15,PS17 English Luxury,Peter Stokkebye,https://www.smokingpipes.com/pipe-tobacco/stokkebye/ps17-english-luxury/product_id/11748,$4.23,4.23,1oz,28.35,True,"Virginia, Latakia, Burley, Black Cavendish",English,Ribbon,,,Peter Stokkebye PS17 English Luxury,4.22522522523,7.94915254237,15.008,28,53.6,256.98630137
#16,Black Raspberry,Lane Limited,https://www.smokingpipes.com/pipe-tobacco/lane/black-raspberry/product_id/123304,$4.02,4.02,1oz,28.35,True,"Virginia, Burley, Black Cavendish",Aromatic,Ribbon,,,Lane Limited Black Raspberry,4.02342342342,7.56949152542,14.2912,26.6626865672,51.04,244.712328767
#17,PS41 Cube Cut,Peter Stokkebye,https://www.smokingpipes.com/pipe-tobacco/stokkebye/ps41-cube-cut/product_id/11747,$4.23,4.23,1oz,28.35,True,"Virginia, Burley",Burley,Cube Cut,,,Peter Stokkebye PS41 Cube Cut,4.22522522523,7.94915254237,15.008,28,53.6,256.98630137
#18,Rum Flake,Gawith Hoggarth & Co.,https://www.smokingpipes.com/pipe-tobacco/gawith-hoggarth/rum-flake/product_id/4002,$8.17,8.17,1oz,28.35,True,"Virginia, Burley",Burley,Flake,,,Gawith Hoggarth & Co. Rum Flake,8.17297297297,15.3762711864,29.0304,54.1611940299,103.68,109.578575342
#19,Louisiana Flake,Gawith Hoggarth & Co.,https://www.smokingpipes.com/pipe-tobacco/gawith-hoggarth/louisiana-flake/product_id/8578,,0.0,,0,True,"Virginia, Perique",Virginia,Flake,,,Gawith Hoggarth & Co. Louisiana Flake,,,,,,
#20,Old Joe Krantz,Cornell & Diehl,https://www.smokingpipes.com/pipe-tobacco/cornell-diehl/old-joe-krantz/product_id/66071,$4.39,4.39,1oz,28.35,False,"Virginia, Perique, Burley",Burley,Ribbon,,,Cornell & Diehl Old Joe Krantz,4.39279279279,8.26440677966,15.6032,29.1104477612,53.4356164384,66071
