渠道,产品名称,品牌,口味,不加税价格 (¥),单包含税价 (¥),美元价格 ($),毛重 (g),运费 (¥),价格/500g (¥),平摊运费 (¥/包),平摊运费后烟丝成本/20支,20支成品烟价 (¥),规格 (g),库存,分类
茄营,黑船長 弗吉尼亞(手卷絲),黑船长,弗吉尼亞,43.00,64.50,6.32,60,0 (满1.5kg免),645.00,0.00,18.06,21.96,50,有货,手卷丝
茄营,黑船長 明亮弗吉尼亞(手卷絲),黑船长,明亮弗吉尼亞,43.00,64.50,6.32,60,0 (满1.5kg免),645.00,0.00,18.06,21.96,50,有货,手卷丝
茄营,黑船長 香草(手卷絲),黑船长,香草,43.00,64.50,6.32,60,0 (满1.5kg免),645.00,0.00,18.06,21.96,50,有货,手卷丝
茄营,黑船長 櫻桃(手卷絲),黑船长,櫻桃,43.00,64.50,6.32,60,0 (满1.5kg免),645.00,0.00,18.06,21.96,50,有货,手卷丝
茄营,黑船長 薄荷醇(手卷絲),黑船长,薄荷醇,43.00,64.50,6.32,60,0 (满1.5kg免),645.00,0.00,18.06,21.96,50,有货,手卷丝
茄营,紅田 黑醋栗 (帶紙),紅場,黑醋栗,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 櫻桃 (帶紙),紅場,櫻桃,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 蘋果 (帶紙),紅場,蘋果,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 葡萄 (帶紙),紅場,葡萄,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 皇家基爾 (帶紙),紅場,皇家基爾,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 榛果 (帶紙),紅場,榛果,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 巧克力 (帶紙),紅場,巧克力,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 薄荷 (帶紙),紅場,薄荷,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 香蕉 (帶紙),紅場,香蕉,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 桃子 (帶紙),紅場,桃子,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 巧克力薄荷 (帶紙),紅場,巧克力薄荷,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 草莓 (帶紙),紅場,草莓,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 柑橘 (帶紙),紅場,柑橘,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 芒果 (帶紙),紅場,芒果,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 香橙 (帶紙),紅場,香橙,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 香草 (帶紙),紅場,香草,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 樹莓鳳梨 (帶紙),紅場,樹莓鳳梨,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 伯爵紅茶 (帶紙),紅場,伯爵紅茶,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 西瓜哈密瓜 (帶紙),紅場,西瓜哈密瓜,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,紅田 黑加侖 (帶紙),紅場,黑加侖,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,有货,手卷丝
茄营,史丹利 重焙 (帶紙),史丹利,重焙,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,缺货,手卷丝
茄营,史丹利 弗吉尼亞 (帶紙),史丹利,弗吉尼亞,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,缺货,手卷丝
茄营,史丹利 天然 (帶紙),史丹利,天然,29.00,43.50,4.29,50,0 (满1.5kg免),725.00,0.00,20.30,24.20,30,缺货,手卷丝
