不出錯選購方案：每個品牌只挑一支經典款
原則: 性價比好 + 多品牌嘗試 + 每牌只選不出錯的經典款

序號,品牌,選擇產品,對應網站名,選擇理由,規格,重量,單包USD,單包RMB,5包裝價,最佳單價,庫存,庫存狀態
1,Bugler (喇叭手),Bugler Original,喇叭手 原味 (帶紙),原味經典，土耳其煙草風味,18.4g/pack*1,0.035 kg/包,$5.76,¥39,無,$5.76 (單包),5419,有貨
2,Drum (鼓牌),Drum The Original,鼓牌原味,全球暢銷，荷蘭半乾經典,0.05kg/pack*1,0.06 kg/包,$7.75,¥53,$37.80,$7.56 (5包裝均價$7.56),2710,有貨
3,GV (金色弗吉尼亞),GV The Original,綠GV (金色弗吉尼亞),手卷標杆，純正弗吉尼亞,0.05kg/pack*1,0.06 kg/包,$7.95,¥54,無,$7.95 (單包),4582,有貨
4,Old Holborn (老霍本),Old Holborn Yellow,老霍本 黃,英式經典原味，口碑極佳,0.025kg/pack*1,0.036 kg/包,$5.13,¥35,無,$5.13 (單包),2371,有貨
5,American Spirit (美國精神),American Spirit Blue,美國精神 原味藍,經典原味勁道足 ⚠️缺貨,0.03kg/pack*1,0.04 kg/包,$7.23,¥49,$35.27,$7.05 (5包裝均價$7.05),0,⚠️缺貨
6,CB (黑船長),CB Virginia,黑船長 弗吉尼亞(手卷絲),經典弗吉尼亞原味,0.05kg/pack,0.06 kg/包,$6.32,¥43,$30.67,$6.13 (5包裝均價$6.13),1223,有貨
7,Colts,Colts Vanilla,COLTS 香草 (帶紙),Colts招牌香草調味,0.03kg/pack*1,0.05 kg/包,$4.75,¥32,$22.79,$4.56 (5包裝均價$4.56),1929,有貨
8,BS (巴厘絲),BS Premium Virginia,巴厘絲 優質弗吉尼亞 (帶紙),優質弗吉尼亞，平衡之選,0.04kg/pack*1,0.058 kg/包,$7.08,¥48,$34.39,$6.88 (5包裝均價$6.88),880,有貨
9,Choice (馬霸選擇),Choice #01 Original,馬霸選擇#01 原味 (帶紙),馬霸經典原味入門,0.03kg/pack*1,0.05 kg/包,$4.62,¥31,$22.09,$4.42 (5包裝均價$4.42),608,有貨
10,MB (馬霸手捲),MB Halfzware,馬霸手捲 半乾手捲 (帶紙),荷蘭傳統半乾風格,0.03kg/pack*1,0.05 kg/包,$4.92,¥33,$23.64,$4.73 (5包裝均價$4.73),488,有貨
11,Ams (阿姆斯特丹),Ams Xxx Honest,阿姆斯特丹 誠實 (帶紙),經典原味荷蘭系,0.025kg/pack*1,0.043 kg/包,$4.15,¥28,$19.80,$3.96 (5包裝均價$3.96),616,有貨
12,PS (彼得·斯托克比),PS 94 Turkish,PS NUMBER 94 土耳其出口 (袋裝 帶紙),經典土耳其東方風味,0.035kg/pack*1,0.05 kg/包,$6.13,¥42,$29.71,$5.94 (5包裝均價$5.94),303,有貨

合計,,,,,,,$71.79,¥487,,,,

=== 不推薦的品牌/產品 (跳過) ===
品牌,產品,跳過原因
RF (紅田),樹莓鳳梨/伯爵紅茶/西瓜哈密瓜 全系列,低端調味品牌，無經典原味款，不建議

=== 同品牌已跳過的調味款 ===
品牌,跳過產品,原因
Bugler,Bugler Gold (金色),調味款，不如原味經典
Drum,Drum Bright Blue (蔚藍),調味款，不如原味經典
GV,GV Bright Yellow (明亮黃),淡味版，不如綠GV經典
Old Holborn,Old Holborn Blonde (白金),淡味版且缺貨
American Spirit,American Spirit Yellow (黃),淡味版，不如藍色經典
CB,CB Bright Virginia / Cherry / Menthol,調味款
Colts,Colts Apple&Cinnamon / Cherry,非招牌口味
BS,BS Rich Virginia (濃郁),劲道偏大，进阶款非入門
Choice,Choice #05 Aromatic / #33 Kir Royal,調味款
MB,MB Virginal (弗吉尼亞混合),偏濃，半乾更經典
Ams,Ams Coffee Ice / Apple Ice,調味款
PS,PS 96 London / 95 Stockholm,非最經典，可後續嘗試

=== 方案對比 ===
方案,費用USD,產品數,說明
A. 只買12款經典 (單包價),$71.79,12,款款經典不出錯，品牌全面
B. 只買12款經典 (最佳價),$70.07,12,含5包折扣，更省
C. 33包組合,$169.88,33,多花$98.09買大量調味款，不划算

🏆 推薦方案A:,總費用約 $71.79 (USD) / ¥487 (RMB),,
,12個品牌 × 1款經典 = 全面嘗試，款款不出錯,,
