字段名,中文名,含义,填充率,枚举/示例值,数据类型
id,产品编号,系统唯一产品ID,731/731 (100%),"731 个唯一值，如: 1, 10, 100, 1000, 1001...",str
name,产品名称,商品全名，含品牌/口味/规格,731/731 (100%),"730 个唯一值，如: Acrema Blend 20g装, Amber Leaf Blonde 25g装, Amber Leaf Organic Blend 25g装, Amphora Black Cavendish 50g装, Amph",str
price,价格(日元),日元标价，单包含税价,731/731 (100%),"102 个唯一值，如: 1000, 1050, 10780, 1080, 1090...",str
brand,品牌,所属品牌,731/731 (100%),"120 个唯一值，如: 7seas/Seven Seas, AMPHORA/, APACHE/, Acrema Blend/, Amber Leaf/琥珀...",str
url,链接,商品列表页或详情页URL,731/731 (100%),"135 个唯一值，如: https://ribenyan.com/index.php, https://ribenyan.com/index.php, https://ribenyan.com/index.php, https://ribe",str
category,原始分类,产品分类,731/731 (100%),手卷=手卷丝; 烟斗丝=斗草; 外国香烟=外烟; 日本香烟=日烟; 雪茄=雪茄; 套餐=套餐; 其他=其他; 烟丝=烟丝,str
ftype,商品大类,产品大类编码,731/731 (100%),1=日本香烟; 2=外国香烟; 3=雪茄; 4=手卷; 5=烟斗丝; 6=烟丝; 10=套餐,str
goods_type,商品子类,产品子类编码,731/731 (100%),1=香烟; 2=雪茄; 4=手卷丝; 8=烟丝; 11=套餐,str
goods_type_name,子类名称,单品/套餐,731/731 (100%),"9, 单品, 套餐",str
size,规格,从名称提取(293/731条成功),293/731 (40%),"19 个唯一值，如: 100g, 10g, 10支, 12支, 14支...",str
price (统计),价格统计,范围 ¥280 ~ ¥14980,731/731 (100%),中位数 ¥580,float
