brand,category,ftype,goods_type,goods_type_name,id,name,price,size,url
加热烟套餐/,套餐,10,11,套餐,1013,加热烟弹套餐2606O——TEREA烟弹15款各1包,9300,,https://ribenyan.com/index.php?m=goods&a=list&brand=117&goods_type=11&ftype=10
香烟套餐/,套餐,10,11,套餐,966,香烟套餐2604L——9款各1包 含和平铁罐,6200,,https://ribenyan.com/index.php?m=goods&a=list&brand=116&goods_type=11&ftype=10
香烟套餐/,套餐,10,11,套餐,802,香烟套餐2601E——8款各1包 含和平铁罐,6060,,https://ribenyan.com/index.php?m=goods&a=list&brand=116&goods_type=11&ftype=10
香烟套餐/,套餐,10,11,套餐,801,香烟套餐2601D——12款各1包,6550,,https://ribenyan.com/index.php?m=goods&a=list&brand=116&goods_type=11&ftype=10
香烟套餐/,套餐,10,11,套餐,809,香烟套餐2601G——12款各1包,6970,,https://ribenyan.com/index.php?m=goods&a=list&brand=116&goods_type=11&ftype=10
AmericanSpirit/美国精神,日本香烟,1,1,单品,98,美国精神/AmericanSpirit 有机烟叶 绿松石 12mg 14支装,420,14支,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
AmericanSpirit/美国精神,日本香烟,1,1,单品,99,美国精神/AmericanSpirit 有机烟叶 金色 6mg 14支装,420,14支,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
AmericanSpirit/美国精神,日本香烟,1,1,单品,101,美国精神/AmericanSpirit 淡味 8mg 14支装,420,14支,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
AmericanSpirit/美国精神,日本香烟,1,1,单品,102,美国精神/AmericanSpirit 有机薄荷 淡味 9mg 14支装,420,14支,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
AmericanSpirit/美国精神,日本香烟,1,1,单品,100,美国精神/AmericanSpirit 有机烟叶 ONE 1mg 14支装,420,14支,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
AmericanSpirit/美国精神,日本香烟,1,1,单品,103,美国精神/AmericanSpirit 有机薄荷 超淡 5mg 14支装,420,14支,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
AmericanSpirit/美国精神,日本香烟,1,1,单品,104,美国精神/AmericanSpirit 有机薄荷 ONE 1mg 14支装,420,14支,https://ribenyan.com/index.php?m=goods&a=list&brand=8&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,75,骆驼/Camel Craft 14mg 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,76,骆驼/Camel Craft 12mg 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,88,骆驼/Camel Craft 薄荷 梨爆珠 5mg 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,92,骆驼/Camel Craft 薄荷 莓果爆珠 5mg 长支 细支,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,87,骆驼/Camel Craft 薄荷 梨爆珠 8mg 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,79,骆驼/Camel Craft 薄荷 莓果爆珠 8mg 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,80,骆驼/Camel Craft 薄荷 莓果爆珠 5mg 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,93,骆驼/Camel Craft 薄荷 莓果爆珠 1mg 长支 细支,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,81,骆驼/Camel Craft 10mg 硬盒 ,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,82,骆驼/Camel Craft 6mg 硬盒 ,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,89,骆驼/Camel Craft 1mg 长支 细支,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,77,骆驼/Camel Craft 薄荷 5mg 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,90,骆驼/Camel Craft 薄荷 5mg 长支 细支,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,86,骆驼/Camel Craft 薄荷 莓果爆珠 1mg 长支 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,84,骆驼/Camel Craft 1mg 长支 硬盒 ,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,83,骆驼/Camel Craft 3mg 硬盒 ,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Camel/骆驼,日本香烟,1,1,单品,78,骆驼/Camel Craft 薄荷 1mg 长支 硬盒,450,,https://ribenyan.com/index.php?m=goods&a=list&brand=7&goods_type=1&ftype=1
Echo/回声,日本香烟,1,1,单品,106,回声/Echo 香烟,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=6&goods_type=1&ftype=1
FLOYD/,日本香烟,1,1,单品,706,Floyd 6,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=98&goods_type=1&ftype=1
FLOYD/,日本香烟,1,1,单品,705,Floyd 1,540,,https://ribenyan.com/index.php?m=goods&a=list&brand=98&goods_type=1&ftype=1
Hi-lite/喜力,日本香烟,1,1,单品,96,喜力/Hi-lite 17mg 软盒,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=11&goods_type=1&ftype=1
Hi-lite/喜力,日本香烟,1,1,单品,97,喜力/Hi-lite 薄荷 10mg,520,,https://ribenyan.com/index.php?m=goods&a=list&brand=11&goods_type=1&ftype=1
Hope/希望,日本香烟,1,1,单品,67,希望/Hope 原味 14mg 10支 硬盒,300,10支,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
Hope/希望,日本香烟,1,1,单品,69,希望/Hope 淡味 9mg 10支 硬盒,300,10支,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
Hope/希望,日本香烟,1,1,单品,71,希望/Hope 超淡 6mg 10支 硬盒,300,10支,https://ribenyan.com/index.php?m=goods&a=list&brand=10&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,85,梅比乌斯/MEVIUS Premium薄荷 紫色爆珠 8mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,25,梅比乌斯/MEVIUS Premium薄荷 紫色爆珠 5mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,41,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 5mg 长支 细支,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,27,梅比乌斯/MEVIUS Premium薄荷 黄色爆珠 5mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,9,梅比乌斯/MEVIUS 特淡 3mg 软盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,2,梅比乌斯/MEVIUS RICH 12mg 软盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,6,梅比乌斯/MEVIUS 超淡 6mg 软盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,16,梅比乌斯/MEVIUS 1mg 软盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,4,梅比乌斯/MEVIUS 10mg 软盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,1011,梅比乌斯/MEVIUS E系列 12mg 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,42,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 1mg 长支 细支,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,35,梅比乌斯/MEVIUS E系列 薄荷 冰风暴 5mg 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,39,梅比乌斯/MEVIUS E系列 3mg 长支 细支 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,11,梅比乌斯/MEVIUS 淡味 8mg 软盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,28,梅比乌斯/MEVIUS Premium薄荷 黄色爆珠 1mg 长支 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,43,梅比乌斯/MEVIUS E系列 薄荷 冰风暴 1mg 长支 细支,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,26,梅比乌斯/MEVIUS Premium薄荷 紫色爆珠 1mg 长支 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,31,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 8mg 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,5,梅比乌斯/MEVIUS 10mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,3,梅比乌斯/MEVIUS RICH 12mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,10,梅比乌斯/MEVIUS 10mg 长支 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,14,梅比乌斯/MEVIUS 特淡 3mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,40,梅比乌斯/MEVIUS E系列 1mg 长支 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,32,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 5mg 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,34,梅比乌斯/MEVIUS E系列 薄荷 冰风暴 8mg 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,17,梅比乌斯/MEVIUS 1mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,38,梅比乌斯/MEVIUS E系列 6mg 长支 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,33,梅比乌斯/MEVIUS E系列 薄荷 紫色爆珠 1mg 长支 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,15,梅比乌斯/MEVIUS 特淡 3mg 长支 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,13,梅比乌斯/MEVIUS 淡味 8mg 长支 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,36,梅比乌斯/MEVIUS E系列 薄荷 冰风暴 1mg 长支 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,21,梅比乌斯/MEVIUS E系列 10mg 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,18,梅比乌斯/MEVIUS 1mg 长支 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,7,梅比乌斯/MEVIUS 超淡 6mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,23,梅比乌斯/MEVIUS E系列 3mg 长支 硬盒,500,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
MEVIUS/梅比乌斯,日本香烟,1,1,单品,12,梅比乌斯/MEVIUS 淡味 8mg 硬盒,580,,https://ribenyan.com/index.php?m=goods&a=list&brand=2&goods_type=1&ftype=1
