id,code,name,category,brand,spec,weight_kg,category_type,ingredients,cut,strength,blend,flavor,price_usd,price_rmb,lineation_price,total_stock,sales_num,in_stock,stock_warning,subtitle,is_multiple,description,image,sku_details
2287,TO31453,喇叭手 原味 (帶紙),手卷丝,,18.4g/pack*1,0.035 kg/包,手卷絲,土耳其煙草、混合煙草,精細切割,中等,,,5.76,39,0,5419,3077,TRUE,10,🔥熱銷單品,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260312/c2191c45-40da-456d-a001-c6da925c7377.jpg,"[{""spec"": ""18.4g/pack*1"", ""price_usd"": 5.76, ""stock"": 5419}]"
2286,TO32792,喇叭手 薄荷醇 (帶紙),手卷丝,,18.4g/pack*1,0.035 kg/包,手卷絲,土耳其煙草、混合煙草,精細切割,中等,,,5.76,39,0,2037,1529,TRUE,10,🔥熱銷單品,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260312/d1c3672c-fab3-4efb-a9e8-160e3fee6118.jpg,"[{""spec"": ""18.4g/pack*1"", ""price_usd"": 5.76, ""stock"": 1940}, {""spec"": ""18.4g/pack*6"", ""price_usd"": 33.4, ""stock"": 97}]"
2150,TO32073,COLTS 清爽薄荷 (帶紙),手卷丝,,0.03kg/pack*1,0.05 kg/包,,,：精細切割,,,,4.75,32,0,1046,1750,TRUE,0,,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260211/31c864dd-5c77-4232-bd47-814c5c7ba0de.jpg,"[{""spec"": ""0.03kg/pack*1"", ""price_usd"": 4.75, ""stock"": 948}, {""spec"": ""0.03kg/pack*5"", ""price_usd"": 22.79, ""stock"": 98}]"
2149,TO32779,COLTS 甜香櫻桃 (帶紙),手卷丝,,0.03kg/pack*1,0.05 kg/包,,,：精細切割,,,,4.75,32,0,1045,1896,TRUE,0,,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260211/f81b827f-53b4-4b84-adfe-a6112af1854c.jpg,"[{""spec"": ""0.03kg/pack*1"", ""price_usd"": 4.75, ""stock"": 947}, {""spec"": ""0.03kg/pack*5"", ""price_usd"": 22.79, ""stock"": 98}]"
2153,TO32004,COLTS 清甜荔枝 (帶紙),手卷丝,,0.03kg/pack*1,0.05 kg/包,,,：精細切割,,,,4.75,32,0,1016,1970,TRUE,0,,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260211/c1e69f48-2486-4397-9191-1c7473d4fc30.jpg,"[{""spec"": ""0.03kg/pack*1"", ""price_usd"": 4.75, ""stock"": 922}, {""spec"": ""0.03kg/pack*5"", ""price_usd"": 22.79, ""stock"": 94}]"
2151,TO32231,COLTS 果香茉莉 (帶紙),手卷丝,,0.03kg/pack*1,0.05 kg/包,,,：精細切割,,,,4.75,32,0,1006,2031,TRUE,0,,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260211/c5ee65f6-572e-44bc-931c-e6b672278cd1.jpg,"[{""spec"": ""0.03kg/pack*1"", ""price_usd"": 4.75, ""stock"": 914}, {""spec"": ""0.03kg/pack*5"", ""price_usd"": 22.79, ""stock"": 92}]"
2152,TO32229,COLTS 清新綠茶 (帶紙),手卷丝,,0.03kg/pack*1,0.05 kg/包,,,：精細切割,,,,4.75,32,0,984,2011,TRUE,0,,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260211/2f5a63c2-9b33-4f9a-b09f-97d2a2e621cc.jpg,"[{""spec"": ""0.03kg/pack*1"", ""price_usd"": 4.75, ""stock"": 890}, {""spec"": ""0.03kg/pack*5"", ""price_usd"": 22.79, ""stock"": 94}]"
2458,TO32863,阿姆斯特丹 咖啡冰爽 (帶紙),手卷丝,,0.025kg/pack*1,0.043 kg/包,,,,,,,4.15,28,0,980,442,TRUE,10, ,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260409/f71d753b-068a-4131-9886-ddbee76ae83c.jpg,"[{""spec"": ""0.025kg/pack*1"", ""price_usd"": 4.15, ""stock"": 930}, {""spec"": ""0.025kg/pack*5"", ""price_usd"": 19.8, ""stock"": 50}]"
2459,TO32864,阿姆斯特丹 蘋果冰爽 (帶紙),手卷丝,,0.025kg/pack*1,0.043 kg/包,,,,,,,4.15,28,0,976,373,TRUE,10, ,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260409/76a229a7-e1ac-46b8-9c52-615da9977805.jpg,"[{""spec"": ""0.025kg/pack*1"", ""price_usd"": 4.15, ""stock"": 925}, {""spec"": ""0.025kg/pack*5"", ""price_usd"": 19.8, ""stock"": 51}]"
2303,TO32794,馬霸選擇#33 皇家基爾 (帶紙),手卷丝,,0.03kg/pack*1,0.05 kg/包,手卷絲,弗吉尼亞煙草、白肋煙、東方煙草,精細切割,輕柔,,,4.62,31,0,968,1730,TRUE,10, ,TRUE,,https://picture.pipeuncle.com/pipeuncle-images/image/20260316/dbc07ef0-05c3-4097-89e3-9a1ce2eda644.jpg,"[{""spec"": ""0.03kg/pack*1"", ""price_usd"": 4.62, ""stock"": 922}, {""spec"": ""0.03kg/pack*5"", ""price_usd"": 22.09, ""stock"": 46}]"
