手捲精選 2號 (33包套餐) 精確價格對比分析
組合總價: USD $169.88 / RMB ¥1155
組合均價: USD $5.15/包 (簡易平均)

序號,組合產品名,對應單品名,規格,重量,單包USD,多包優惠,最佳單價USD,庫存狀態,組合內分攤USD,vs單包節省,vs最佳價節省
1,Bugler Gold,喇叭手 金色 (帶紙),18.4g/pack*1,0.035 kg/包,$5.76,无多包装,$5.76 (单包),有货,$5.18,$0.58,$0.58
2,Bugler Original,喇叭手 原味 (帶紙),18.4g/pack*1,0.035 kg/包,$5.76,无多包装,$5.76 (单包),有货,$5.18,$0.58,$0.58
3,Drum Bright Blue,鼓牌蔚藍,0.05kg/pack*1,0.06,$7.75,5包 $37.80,$7.56 (5包 $37.80),有货,$6.98,$0.77,$0.58
4,Drum The Original,鼓牌原味,0.05kg/pack*1,0.06 kg/包,$7.75,5包 $37.80,$7.56 (5包 $37.80),有货,$6.98,$0.77,$0.58
5,GV The Original,綠GV (金色弗吉尼亞),0.05kg/pack*1,0.06 kg/包,$7.95,无多包装,$7.95 (单包),有货,$7.16,$0.79,$0.79
6,GV Bright Yellow,明亮黃 (金色弗吉尼亞),0.05kg/pack*1,0.06 kg/包,$7.95,无多包装,$7.95 (单包),有货,$7.16,$0.79,$0.79
7,Old Holborn Yellow,老霍本 黃,0.025kg/pack*1,0.036 kg/包,$5.13,无多包装,$5.13 (单包),有货,$4.62,$0.51,$0.51
8,Old Holborn Blonde,老霍本 白金,0.025kg/pack*1,0.036 kg/包,$5.13,无多包装,$5.13 (单包),缺貨(銷量0),$4.62,$0.51,$0.51
9,American Spirit Blue,美國精神 原味藍,0.03kg/pack*1,0.04 kg/包,$7.23,5包 $35.27,$7.05 (5包 $35.27),缺貨(銷量0),$6.51,$0.72,$0.54
10,American Spirit Yellow,美國精神 原味黃,0.03kg/pack*1,0.04 kg/包,$7.23,5包 $35.27,$7.05 (5包 $35.27),有货,$6.51,$0.72,$0.54
11,CB Bright Virginia,黑船長 明亮弗吉尼亞(手卷絲),0.05kg/pack,0.06 kg/包,$6.32,5包 $30.67,$6.13 (5包 $30.67),有货,$5.69,$0.63,$0.44
12,CB Virginia,黑船長 弗吉尼亞(手卷絲),0.05kg/pack,0.06 kg/包,$6.32,5包 $30.67,$6.13 (5包 $30.67),有货,$5.69,$0.63,$0.44
13,CB Cherry,黑船長 櫻桃(手卷絲),0.05kg/pack,0.06 kg/包,$6.32,5包 $30.67,$6.13 (5包 $30.67),有货,$5.69,$0.63,$0.44
14,CB Menthol,黑船長 薄荷醇(手卷絲),0.05kg/pack,0.06 kg/包,$6.32,5包 $30.67,$6.13 (5包 $30.67),有货,$5.69,$0.63,$0.44
15,Colts Vanilla,COLTS 香草 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.75,5包 $22.79,$4.56 (5包 $22.79),有货,$4.28,$0.47,$0.28
16,Colts Apple&Cinnamon,COLTS 蘋果肉桂 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.75,5包 $22.79,$4.56 (5包 $22.79),有货,$4.28,$0.47,$0.28
17,Colts Cherry,COLTS 甜香櫻桃 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.75,5包 $22.79,$4.56 (5包 $22.79),有货,$4.28,$0.47,$0.28
18,BS Premium Virginia,巴厘絲 優質弗吉尼亞 (帶紙),0.04kg/pack*1,0.058 kg/包,$7.08,5包 $34.39,$6.88 (5包 $34.39),有货,$6.37,$0.71,$0.51
19,BS Rich Virginia,巴厘絲 濃郁弗吉尼亞 (帶紙),0.04kg/pack*1,0.058 kg/包,$7.08,5包 $34.39,$6.88 (5包 $34.39),有货,$6.37,$0.71,$0.51
20,Choice #01 Original,馬霸選擇#01 原味 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.62,5包 $22.09,$4.42 (5包 $22.09),有货,$4.16,$0.46,$0.26
21,Choice #05 Aromatic,馬霸選擇#05 芳香 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.62,5包 $22.09,$4.42 (5包 $22.09),有货,$4.16,$0.46,$0.26
22,Choice #33 Kir Royal,馬霸選擇#33 皇家基爾 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.62,5包 $22.09,$4.42 (5包 $22.09),有货,$4.16,$0.46,$0.26
